block_date,block_number,block_time,num_trades,dex_swaps,batch_value,solver_address,tx_hash,gas_price,gas_used,tx_cost_usd,fee_value,call_data_size,unwraps,token_approvals,block_number,transaction_hash,sandwich_id,trace_address,block_number,backrun_swap_transaction_hash,frontrun_swap_transaction_hash,profit_token_address,sandwicher_address,backrun_swap_trace_address,frontrun_swap_trace_address,id,profit_amount
2023-03-01,1.673065e+07,2023-03-01 01:56:59.000 UTC,1,1,47978.55361751378,0xb20b86c4e6deeb432a22d773a221898bbbd03036,0x516b774861e3a8558dc787305236d92c47655b3ff07b4aeb48df85e7fa930eec,1.7282090603e+10,959308,26.812638924995674,39.398382486222005,6,0,0,1.673065e+07,0x516b774861e3a8558dc787305236d92c47655b3ff07b4aeb48df85e7fa930eec,e92814e4-af86-4a91-a625-02df137dd461,"[2,1,0,0,2,2]",1.673065e+07,0x03c213db4d1f9ff4b3a1c202d6a66a09c28e7e240ae3d08e96050ecad83aba73,0xdb970ec3668e22a9c04eeb31a8592fdd2fe6894e32a2d03bfd9564f442cd4041,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,[1],[1],e92814e4-af86-4a91-a625-02df137dd461,14749873
2023-02-17,1.6646964e+07,2023-02-17 07:30:23.000 UTC,1,2,25934.491655292943,0xc9ec550bea1c64d779124b23a26292cc223327b6,0xf3a47341218809e525fd615b2590f04d2988a80a56140c36c4554839edc32ef3,2.181057683e+10,280409,10.163250453645174,5.372072805145371,3,0,0,1.6646964e+07,0xf3a47341218809e525fd615b2590f04d2988a80a56140c36c4554839edc32ef3,5382d346-1e35-4a8a-afed-63f3dd1de155,"[2,0]",1.6646964e+07,0xafa70768d8f56c928fb617c894299adb8fbe596700fccdaa3c7e471693ea17d7,0xa97b76ba011e47cdc8a5c6150b3fe488b5c5428d9506f0c54aac62891742882c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x000000000035b5e5ad9019092c665357240f594e,[0],[0],5382d346-1e35-4a8a-afed-63f3dd1de155,10194587043961221
2021-09-10,1.3197643e+07,2021-09-10 11:06:31.000 UTC,1,2,3529.2904484781975,0xa6ddbd0de6b310819b49f680f65871bee85f517e,0x89b1bf84fbdaff39596cb823c2774d74624315cc90c8bcbb515d6dba741094c2,7.0000001102e+10,290601,69.3204867131025,51.73654165360835,3,0,0,1.3197643e+07,0x89b1bf84fbdaff39596cb823c2774d74624315cc90c8bcbb515d6dba741094c2,20da167d-1fd1-405a-8e98-7d0a7bdaf19e,"[3,2]",1.3197643e+07,0x933a3ebc5622f76a58df314556b9a21beee2fcb8854a80d21abdb9bfe5c2a9d5,0x7c0c89142213c4f1601a7d5b4d5756807cb9ba7ff9d37f23eb7f0504546cef57,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x499dd900f800fd0a2ed300006000a57f00fa009b,[3],[2],20da167d-1fd1-405a-8e98-7d0a7bdaf19e,44837322569959773
2021-09-30,1.3326848e+07,2021-09-30 11:33:07.000 UTC,2,2,635391.5062521576,0xa6ddbd0de6b310819b49f680f65871bee85f517e,0x0cf4a36ba95d0c8613bcf94d815df0b4a140c4d3eac4450e999ab23d1dda0db4,5.7199999808e+10,1.233553e+06,208.9160057739195,194.1357478424505,13,0,0,1.3326848e+07,0x0cf4a36ba95d0c8613bcf94d815df0b4a140c4d3eac4450e999ab23d1dda0db4,1bb78a10-d1d7-4bf6-941e-0c603b4c8252,"[2,0,6,3]",1.3326848e+07,0xf83f28da3a2bf22c84f262c74c43a628f1877dc806fbc006a2e66236f739f7b3,0x62e10c048fdbc76833733b4041c8c29a7f52be0018f4acb223e8cd5e8dad29fb,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b650ca58d7b7f1525c362ee1bb380df6140c766,[3],[2],1bb78a10-d1d7-4bf6-941e-0c603b4c8252,201425153527541970
2021-09-30,1.3326848e+07,2021-09-30 11:33:07.000 UTC,2,2,635391.5062521576,0xa6ddbd0de6b310819b49f680f65871bee85f517e,0x0cf4a36ba95d0c8613bcf94d815df0b4a140c4d3eac4450e999ab23d1dda0db4,5.7199999808e+10,1.233553e+06,208.9160057739195,194.1357478424505,13,0,0,1.3326848e+07,0x0cf4a36ba95d0c8613bcf94d815df0b4a140c4d3eac4450e999ab23d1dda0db4,1bb78a10-d1d7-4bf6-941e-0c603b4c8252,"[2,0,6,3]",1.3326848e+07,0xf83f28da3a2bf22c84f262c74c43a628f1877dc806fbc006a2e66236f739f7b3,0x62e10c048fdbc76833733b4041c8c29a7f52be0018f4acb223e8cd5e8dad29fb,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b650ca58d7b7f1525c362ee1bb380df6140c766,[3],[2],1bb78a10-d1d7-4bf6-941e-0c603b4c8252,201425153527541970
2023-03-01,1.6733116e+07,2023-03-01 10:15:35.000 UTC,1,4,16995.727919987537,0xc9ec550bea1c64d779124b23a26292cc223327b6,0xe1e58a6bda332b272a5c12a09332839f88a7c637be3568557223a59e5988b419,2.3826309265e+10,260179,10.23986813785883,18.12108001246251,4,0,0,1.6733116e+07,0xe1e58a6bda332b272a5c12a09332839f88a7c637be3568557223a59e5988b419,fbaf0bac-29d4-4ad8-a177-6852d4d8a8ce,[5],1.6733116e+07,0x2ea8ecc415cb05338d7f1235cd5df7cfc2cb130f232acc4bd6381a075a579d1f,0xb08e8e6fc34c9e1d820c31505f0fcbb3a7099cc793cc79892207b9fa017fa4c5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,[1],[1],fbaf0bac-29d4-4ad8-a177-6852d4d8a8ce,28284359995293129
2023-03-30,1.6938154e+07,2023-03-30 06:02:47.000 UTC,1,2,14263.638766193893,0xc9ec550bea1c64d779124b23a26292cc223327b6,0xd975806213abe012497c163c02afbc6cebcd6e171dc2820ced1322b39468bb05,2.7300821134e+10,335543,16.463520893980487,21.71178016932744,3,0,0,1.6938154e+07,0xd975806213abe012497c163c02afbc6cebcd6e171dc2820ced1322b39468bb05,35f071e3-ec91-4f3b-a4f8-553f9a9cebb9,"[3,0]",1.6938154e+07,0xdefb6a02a090db95c176332da3c70a7f898fe2785e3c965ef07b1e5188cd081b,0xdf7351cf721c0ed3e05f0743c65cef1db01a1fe963887d6cbbfe31e605121627,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0000000099cb7fc48a935bceb9f05bbae54e8987,[0],[0],35f071e3-ec91-4f3b-a4f8-553f9a9cebb9,14408180
2021-10-25,1.3487705e+07,2021-10-25 16:34:18.000 UTC,1,1,392405.8564175073,0x6372bcbf66656e91b9213b61d861b5e815296207,0x9feec9db3a6f6eada66da6f6ddeda466e4a6f1593a2d6749e375f7d6e2031bd2,1.70341213934e+11,509814,366.5328407679929,94.29676112334401,8,0,0,1.3487705e+07,0x9feec9db3a6f6eada66da6f6ddeda466e4a6f1593a2d6749e375f7d6e2031bd2,b38e6405-211b-46fb-8855-87b242c6f97a,"[2,0,2,2]",1.3487705e+07,0xdb33cfa4f6bd8f3479a4a56894ebd78f11ece3b43375ae669f0f0da0e910c37a,0x7d3ed7dc387f45910eb786f5ca215a8084237be45d091f78ba193e607d77ac37,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x00000000008c4fb1c916e0c88fd4cc402d935e7d,[1],[1],b38e6405-211b-46fb-8855-87b242c6f97a,387802304
2023-02-19,1.6661289e+07,2023-02-19 07:55:23.000 UTC,1,1,74006.66941718906,0x149d0f9282333681ee41d30589824b2798e9fb47,0xb3c09aeef23eb1da78191130ce371368c13c39e78dd4e0e065108b15efa64fee,1.8725123705e+10,686824,21.790805534402836,24.510582810931407,4,0,0,1.6661289e+07,0xb3c09aeef23eb1da78191130ce371368c13c39e78dd4e0e065108b15efa64fee,253abcd2-50e6-441d-9647-042219c61729,"[2,0,1,2]",1.6661289e+07,0x748c95a4f7ab55611299191b4fb783297c3719b01640a5183d8243cc98a88f9c,0xa09ca3086d8be6308fd2f1a95975a06d0cbd782113170d70e5420a396876803e,0x3aada3e213abf8529606924d8d1c55cbdc70bf74,0xfd0000000100069ad1670066004306009b487ad7,[1],[2],253abcd2-50e6-441d-9647-042219c61729,89832943506828880
2021-09-25,1.3293534e+07,2021-09-25 07:18:04.000 UTC,1,2,79368.02145057078,0xa6ddbd0de6b310819b49f680f65871bee85f517e,0x353fc19993732e7fba1bdd74916ef785dde0af4227bf63dfb79c30d15ba9fdef,3.4476684442e+10,283241,28.575349801873593,17.40201815198785,3,0,0,1.3293534e+07,0x353fc19993732e7fba1bdd74916ef785dde0af4227bf63dfb79c30d15ba9fdef,06f56e31-0e04-4bf6-8a01-94c34b91cfec,"[2,2]",1.3293534e+07,0x2e893102430a51e831e33fd2c67e2b379217e0d25261241743e93139768e7d58,0x948d232f85d2e4d8e907e7bb6946e3fb8c47751202d583e88a278af03a62f2ab,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x000000000035b5e5ad9019092c665357240f594e,[1],[1],06f56e31-0e04-4bf6-8a01-94c34b91cfec,25008673347366161
